product_title,product_price,regular_price,product_shipping,product_rating,amazon_prime,review_count,product_link,item_searched,date
"There's nothing like a Guinness Retro Vintage Tin Sign 12"" X 8""",8.99,,,4.8,NO,48,https://www.amazon.com/Mega-Deal-Theres-Nothing-Guinness-Vintage/dp/B01KKDN9FY/ref=sr_1_28?keywords=guinness+memorabilia&qid=1671397212&sr=8-28,guiness memoribilia,2022-12-18
Guinness Black is Beautiful Embossed 3D Vintage Metal Irish Pub Sign,24.99,,,0,NO,0,https://www.amazon.com/GUINNESS-BEAUTIFUL-Embossed-Vintage-Pub/dp/B00178NVT6/ref=sr_1_29?keywords=guinness+memorabilia&qid=1671397212&sr=8-29,guiness memoribilia,2022-12-18
"Swono Beer Poster Tin Signs,Long Billed Parrot Hold Beer Lovely Day for a Guinness Vintage Metal Tin Sign for Men Women,Wall Decor for Bars,Restaurants,Cafes Pubs,12x8 Inch",9.99,,,4.5,NO,519,https://www.amazon.com/Swono-Poster-Guinness-Vintage-Restaurants/dp/B083W2QC24/ref=sr_1_30?keywords=guinness+memorabilia&qid=1671397212&sr=8-30,guiness memoribilia,2022-12-18
"Five O Clock Somewhere Unique Metal Wall Decor for Home, Bar, Diner, Pub, 16 x 4 Inches,Fun Kitchen Decor, Unique Drinking Sign, Funny Bar Signs, Vintage Kitchen Signs",16.99,,,4.0,NO,445,https://www.amazon.com/Somewhere-Unique-Kitchen-Drinking-Vintage/dp/B097LKPH4C/ref=sr_1_31?keywords=guinness+memorabilia&qid=1671397212&sr=8-31,guiness memoribilia,2022-12-18
"Vintage photograph of Jay Mulligan, Contestant in the Guinness""win your own pub"" competition.",.99,,,0,NO,0,https://www.amazon.com/photograph-Mulligan-Contestant-Guinness-competition/dp/B08BPKKQXB/ref=sr_1_32?keywords=guinness+memorabilia&qid=1671397212&sr=8-32,guiness memoribilia,2022-12-18
Tin Sign 1924 Prescription for Whiskey During Prohibition Vintage Look Metal Tin Sign 12X8 Inches Club Restaurant Gift Vintage,13.99,,,4.3,NO,41,https://www.amazon.com/Prescription-Whiskey-Prohibition-Vintage-Restaurant/dp/B08TM4Z25W/ref=sr_1_33?keywords=guinness+memorabilia&qid=1671397212&sr=8-33,guiness memoribilia,2022-12-18
"Bar Signs, Arikit Metal Wall Decorations, Retro Tin Vintage Decor Signs, Handmade Wall Art Hanging Design Light Up Sign, for Cafe, Bar, Home, Kitchen, Living Room-Battery Operated",33.99,,,4.3,NO,50,https://www.amazon.com/Arikit-Decorations-Handmade-Room-Battery-Operated/dp/B098J2WV3H/ref=sr_1_34?keywords=guinness+memorabilia&qid=1671397212&sr=8-34,guiness memoribilia,2022-12-18
"NINGFEI Tin Sign Poster Plate 8""x12"" of Guinness Black Beer Squirrel Like to Drink Sign for Gym Wine Cellar Man Cave Decor Metal Signs Unique Decorative Sign",13.99,,,0,NO,0,https://www.amazon.com/NINGFEI-Poster-Guinness-Squirrel-Decorative/dp/B08ZSZ119R/ref=sr_1_35?keywords=guinness+memorabilia&qid=1671397212&sr=8-35,guiness memoribilia,2022-12-18
Vintage photo of Maureen Guinness.,.99,,,0,NO,0,https://www.amazon.com/Vintage-photo-of-Maureen-Guinness/dp/B087D6D6GL/ref=sr_1_36?keywords=guinness+memorabilia&qid=1671397212&sr=8-36,guiness memoribilia,2022-12-18
Vintage photo of Guinness advertisement with joe mckinney,.99,,,0,NO,0,https://www.amazon.com/Vintage-photo-Guinness-advertisement-mckinney/dp/B07HPF8YFY/ref=sr_1_37?keywords=guinness+memorabilia&qid=1671397212&sr=8-37,guiness memoribilia,2022-12-18
"Vintage photo of Sir Alec Guinness and Darth Vader in one of the scenes from the movie,""Star Wars"".",.99,,,0,NO,0,https://www.amazon.com/Vintage-photo-Guinness-Darth-scenes/dp/B01DAC6IKU/ref=sr_1_38?keywords=guinness+memorabilia&qid=1671397212&sr=8-38,guiness memoribilia,2022-12-18
Vintage photo of Henry Paul Guinness Channon with his wife Ingrid Guinness.,.99,,,0,NO,0,https://www.amazon.com/Vintage-Guinness-Channon-Ingrid-Guinness/dp/B01B5F5UCG/ref=sr_1_39?keywords=guinness+memorabilia&qid=1671397212&sr=8-39,guiness memoribilia,2022-12-18
VeeLVee Tin Sign Fireball Distressed Retro Metal Sign Vintage Tin Sign for Plaque Poster Cafe Wall Art Gift 12 X 8 inch…,12.99,,,4.5,NO,43,https://www.amazon.com/Eeypy-Fireball-Distressed-Vintage-Plaque/dp/B096R91VMK/ref=sr_1_40?keywords=guinness+memorabilia&qid=1671397212&sr=8-40,guiness memoribilia,2022-12-18
Keviewly NOT My Goodness My Guinness Tin Signs Metal Poster Warning Sign Decor for Garage Home Garden Retro Tin Sign Wall Birthday Party Bar Cafe Kitchen,11.99,,,5.0,NO,3,https://www.amazon.com/Keviewly-Goodness-Guinness-Warning-Birthday/dp/B08Z6N11CD/ref=sr_1_41?keywords=guinness+memorabilia&qid=1671397212&sr=8-41,guiness memoribilia,2022-12-18
"Open Road Brands Pedal to The Metal Wood Sign for Garage, Man Cave or Auto Shop - Large Race Car Wall Decor",32.99,,,4.7,NO,26,https://www.amazon.com/Open-Road-Brands-Pedal-Garage/dp/B08LQV29G8/ref=sr_1_42?keywords=guinness+memorabilia&qid=1671397212&sr=8-42,guiness memoribilia,2022-12-18
"Have a Guinness When You're Tired Tin Sign Wall Retro Metal Bar Pub Poster Metal 12"" X 8""",8.99,,,4.3,NO,38,https://www.amazon.com/Mega-Deal-Guinness-Youre-Tired-Poster/dp/B01IZU39TU/ref=sr_1_43?keywords=guinness+memorabilia&qid=1671397212&sr=8-43,guiness memoribilia,2022-12-18
"Coffee Sign, Arikit Metal Wall Decorations, Retro Tin Vintage Decor Signs, Handmade Wall Art Hanging Design Light Up Sign, for Cafe, Bar, Home, Kitchen, Living Room-Battery Operated",31.99,,,4.5,NO,20,https://www.amazon.com/Arikit-Decorations-Handmade-Room-Battery-Operated/dp/B098PVHPJK/ref=sr_1_44?keywords=guinness+memorabilia&qid=1671397212&sr=8-44,guiness memoribilia,2022-12-18
FlowerBeads Wall Plaque Vintage Metal Tin Signs Bar Pub Decorative Plates Wall Stickers Iron Poster Beer Advertising Sign,11.99,,,4.7,NO,1340,https://www.amazon.com/FlowerBeads-Vintage-Decorative-Stickers-Advertising/dp/B07JFHVWNR/ref=sr_1_45?keywords=guinness+memorabilia&qid=1671397212&sr=8-45,guiness memoribilia,2022-12-18
HWC Trading Ray Park Gift USL Signed Printed Autograph Star Wars Gifts Darth Maul Print Photo Picture Display - US Letter Size,12.99,,,4.4,NO,8,https://www.amazon.com/HWC-Trading-Printed-Autograph-Picture/dp/B09GKTV7X8/ref=sr_1_46?keywords=guinness+memorabilia&qid=1671397212&sr=8-46,guiness memoribilia,2022-12-18
"2BUT Sprite Bottle Caps Metal Tin Signs Cafe Beer Bar Decoration Plat 13.8""Inches Wall Art Plaque Vintage Home Decor",24.99,,,4.4,NO,8,https://www.amazon.com/2but-Sprite-Bottle-Decoration-Vintage/dp/B07YSD2J7D/ref=sr_1_47?keywords=guinness+memorabilia&qid=1671397212&sr=8-47,guiness memoribilia,2022-12-18
Vintage photo of Guinness brewery at dublin,.99,,,0,NO,0,https://www.amazon.com/Vintage-photo-Guinness-brewery-dublin/dp/B07X5DPFJW/ref=sr_1_48?keywords=guinness+memorabilia&qid=1671397212&sr=8-48,guiness memoribilia,2022-12-18
